IMT	f	Cr	Mh	c	Vc	f4	f5	b3 	b4 	c0_crust	c1_crust	c2_crust	c0_slab	c1_slab	c2_slab	sigma_crust	sigma_inter	sigma_slab	We_crust	We_inter	We_slab	Be_crust	Be_inter	Be_slab	phiSS	phiS2S
PGA	199.0	0.0	5.85	-0.84	1300.0	-0.15	-0.00701	-0.4564820129811583	0.038249908468865404	0.1428528	1.8311172	-0.068096	0.0833642	2.0242844	-0.0795	0.5882477191133427	0.6609733014920862	0.6517833907492344	0.2695343088711387	0.27814283631925446	0.43711712993258073	0.4210541953043666	0.5132467904328566	0.37101240299493016	0.319	0.31
0.01	100.0	0.0	5.85	-0.6037	1500.2	-0.1483	-0.00701	-0.43212399896248643	0.035279598433816645	0.1858079	1.835986	-0.068564	0.1461414	2.0253435	-0.079668	0.5891707573698034	0.6581477526095371	0.6502991085972927	0.28271048651344977	0.26313057465037454	0.4350067071335421	0.41363868551555516	0.5175140239154374	0.37088825189167984	0.319	0.31
0.02	50.0	0.0	5.9	-0.5739	1500.36	-0.1471	-0.00728	-0.42090488671216664	0.03435528838604021	0.3788124	1.7937459	-0.065544	0.3926504	1.9685245	-0.075674	0.5906919100281849	0.6564213631980238	0.6498255467327309	0.28988555548600947	0.2503723108711098	0.4309610921115986	0.4108324443046253	0.5216346537681448	0.3747609615107619	0.319	0.31
0.030003000300030006	33.33	0.0	6.15	-0.5341	1502.95	-0.1549	-0.00735	-0.4074900854082593	0.032677832355975725	0.6479953	1.7548111	-0.063509	0.7575199	1.9042317	-0.072015	0.592893932691825	0.6577818075849962	0.6510830319898336	0.28926214405030265	0.24643673473055938	0.4243012733328321	0.41442807270043897	0.5252102837579675	0.3844184490801814	0.32	0.31
0.04	25.0	0.0	5.75	-0.4906	1503.35	-0.1678	-0.00698	-0.39425979340432943	0.031100879755834993	0.8303084	1.7303709	-0.062245	1.0007686	1.8638357	-0.069799	0.5969889787544426	0.6642462271005666	0.6551220773940072	0.2818483117235293	0.25621809802987866	0.41855684290212825	0.4252732885250007	0.5286542693096207	0.397360171065046	0.322	0.31
0.05	20.0	0.0	5.35	-0.458	1501.42	-0.1963	-0.00647	-0.3872042220905837	0.030295798196675036	1.019008	1.7113114	-0.061549	1.2434498	1.8317754	-0.068393	0.6072621537123721	0.6778241665277248	0.6639524822244005	0.2724474509140059	0.2747724238503614	0.41689517812030236	0.4414502461231346	0.5331832009738579	0.40910868860525473	0.332	0.31569192263926066
0.07518796992481203	13.3	0.0	5.2	-0.446418	1493.1716	-0.2306	-0.0057072	-0.3693744528442891	0.02835276468797232	1.9363128	1.5294222	-0.050218	2.0974603	1.6746652	-0.05927	0.6268056032585644	0.6989016790392447	0.6792178876390348	0.2677611865543155	0.28990036118273976	0.4133309336990016	0.4534541057569989	0.5374502324183275	0.4182414289771707	0.35	0.3399537986601684
0.1	10.0	0.0	5.45	-0.4872	1479.12	-0.2492	-0.0056	-0.3524454309621292	0.026525008518227804	2.0612433	1.5223922	-0.049859	2.0449053	1.7178947	-0.062507	0.6338975269005954	0.7084570441781146	0.6837877738077343	0.2677636877643701	0.29490108422756767	0.403474736804459	0.45187467885227633	0.5375935055684061	0.4228899379647635	0.37	0.3548773826798042
0.14992503748125938	6.67	0.0	5.25	-0.578249	1443.4002	-0.2571	-0.0058451	-0.338642054565708	0.025211426025200226	1.9156618	1.5915179	-0.053872	1.3905436	1.9204179	-0.075433	0.6365977401345634	0.7142273299123043	0.6863092895334575	0.27053023386934594	0.2946188721157924	0.4013010417573432	0.4390885194606251	0.532962523637424	0.4131665129212239	0.392	0.37319076540679075
0.2	5.0	0.0	5.45	-0.6876	1392.61	-0.2466	-0.00614	-0.3261850027345212	0.024365044586080447	1.1976394	1.7746622	-0.06552	0.4094375	2.1658134	-0.091005	0.6379204798728414	0.7175650174038529	0.6886118621305368	0.27949489103825986	0.29850422443820684	0.419918277576542	0.4257252693513831	0.5274577164417414	0.38764906457211523	0.391	0.38416551063363275
0.25	4.0	0.0	5.6	-0.7718	1356.21	-0.2357	-0.00644	-0.3077823706788615	0.02187721962778576	0.0657588	2.0753163	-0.085827	-0.987637	2.5268359	-0.114937	0.6449237886374458	0.7238649914408726	0.700507394420585	0.2946883862042289	0.30308687750642554	0.4490771615468309	0.41931186284849703	0.5280680454787547	0.3684797182391605	0.384	0.3914881988787751
0.3003003003003003	3.33	0.0	5.85	-0.8417	1308.47	-0.2191	-0.0067	-0.30849563352152237	0.022341085691109878	-1.082073	2.3665827	-0.104992	-2.344921	2.8594724	-0.136229	0.6559257883546427	0.7313380173598518	0.7218648592066839	0.31092799165323304	0.2955059319895369	0.47817569968091855	0.4197171520927012	0.53863865784076	0.3674737257516661	0.378	0.3967366079331965
0.4	2.5	0.0	6.15	-0.9109	1252.66	-0.1958	-0.00713	-0.2965977772093245	0.021226075872460965	-2.744799	2.7806937	-0.132406	-4.181405	3.298661	-0.164437	0.6699009037313802	0.7409354913501378	0.7440773369715515	0.3275907882194808	0.2963734965135148	0.5067558522793996	0.4226036012356438	0.5461597388952242	0.3660490364127885	0.381	0.4035563065007463
0.5	2.0	0.0	6.25	-0.9693	1203.91	-0.1704	-0.00744	-0.2812533400432924	0.020158025424331805	-4.434368	3.1743708	-0.157102	-5.955038	3.6888328	-0.187762	0.6839151009318686	0.7529874688086199	0.7525996800274545	0.34765636391781735	0.3422858899601504	0.5251523601072439	0.4250429706313488	0.532557139366314	0.3527150209790476	0.399	0.407692765482745
0.8	1.25	0.0	6.85	-1.021	1139.21	-0.1325	-0.00822	-0.26497737938386806	0.018826848002205583	-7.968264	3.9712418	-0.205802	-9.36277	4.385247	-0.226892	0.6975189145352997	0.7725322498860177	0.7484947654976736	0.36596753260691783	0.41558259077195187	0.5229141077296948	0.4266031979284738	0.5034749990137726	0.34087407819511284	0.45	0.413049770281145
1.0	1.0	0.0	6.45	-1.05	1109.95	-0.1052	-0.00844	-0.26618108770605936	0.020132137475410396	-9.422486	4.2415535	-0.21957	-10.62059	4.5653105	-0.233082	0.7010718861378604	0.7879294869646772	0.7365011681374007	0.3731066769148803	0.4721322708709847	0.5005710372039522	0.42532011141542814	0.47594957215090206	0.3470829978266226	0.444	0.414
