gmid,mag,dip,rake,z_tor,r_rup,r_jb,r_x,Vs30,Z1.0,Z2.5
1476956gm9,3.999576414578965,46.0,140.0,4.598454595285973,58.86395169428338,58.6826478274165,-4.490637018697074,600.0,3.0,0.325
1485433gm9,4.42490007861177,60.0,80.0,4.099547791731154,25.63411645735552,25.23969583601733,0.5698914562891629,600.0,3.0,0.325
1502697gm9,4.099265205128151,80.0,-134.0,28.271774310261076,35.36031148848557,21.19413550508512,-11.523820883791767,390.0,268.0,1.375
1502698gm19,5.2,40.0,97.0,29.352699027324046,33.279291161993044,15.620240488553144,-12.16237169403476,390.0,268.0,1.375
1502698gm24,5.2,40.0,97.0,29.352699027324046,64.1910293786285,55.98175301816347,22.74884304066145,274.0,97.0,0.325
1502698gm54,5.2,40.0,97.0,29.352699027324046,56.53361007875131,46.828790283971365,25.05246690062101,200.0,274.0,0.325
1502698gm64,5.2,40.0,97.0,29.352699027324046,65.88751744327841,57.70922679232888,26.459680211233312,246.0,46.0,0.325
1502698gm69,5.2,40.0,97.0,29.352699027324046,64.89923454651328,56.52014561891308,27.8050846012463,271.0,157.0,0.325
1504146gm24,5.355390264221987,67.0,173.0,45.25486654197126,106.85823511699348,96.78683565648409,-30.23198627363585,390.0,268.0,1.375
1504146gm29,5.355390264221987,67.0,173.0,45.25486654197126,62.59946065997519,43.24309641230008,-21.30213468914921,274.0,97.0,0.325
1504146gm64,5.355390264221987,67.0,173.0,45.25486654197126,66.01707160510158,48.05941846488548,-13.78089724551862,200.0,274.0,0.325
1504146gm69,5.355390264221987,67.0,173.0,45.25486654197126,59.87800038285207,39.15965036353865,-15.54731779512604,453.0,24.0,0.325
1504146gm84,5.355390264221987,67.0,173.0,45.25486654197126,60.34611794468205,39.89560511051312,-18.266969167483104,246.0,46.0,0.325
1504146gm89,5.355390264221987,67.0,173.0,45.25486654197126,60.32441752488988,39.87753421900427,-16.135344389332147,271.0,157.0,0.325
1504146gm104,5.355390264221987,67.0,173.0,45.25486654197126,60.12835182473245,39.55513853725675,-15.902154611425264,265.0,128.0,0.325
1507559gm9,4.452426447634644,40.0,97.0,29.6936990197727,30.23009665210817,5.627416719475718,0.1095336145773759,162.0,120.0,10.125
1515206gm44,5.665402672837607,46.0,140.0,63.09393344640029,128.91797877435022,112.41320699953788,-8.664677168743872,600.0,3.0,0.325
1522623gm44,5.317121674864433,60.0,-127.0,112.51750873195752,166.06042386322397,120.06714357171398,105.50758856722528,495.0,138.0,1.525
1522623gm89,5.317121674864433,60.0,-127.0,112.51750873195752,114.73969377975384,22.42726379361444,-14.651319865396776,250.0,88.0,3.625
1530499gm34,4.6125142022201056,46.0,140.0,91.93392916806572,108.2958045195068,57.20860074148165,-8.091060950875576,600.0,3.0,0.325
1532011gm4,3.8486042332857022,72.0,89.0,44.43610853677097,46.74548660486408,14.294152439153208,7.503879671547533,162.0,120.0,10.125
1536266gm14,4.4850922920572165,67.0,173.0,19.091827793482725,48.90333965016005,44.57544180309782,21.783267860162383,271.0,157.0,0.325
1597193gm39,5.3,80.0,-134.0,47.68633602701962,81.16363523328556,65.62673276612375,-65.43376259478417,440.0,61.0,6.675
1597193gm59,5.3,80.0,-134.0,47.68633602701962,72.2763412636572,53.36217906296997,40.77025674602637,454.0,43.0,2.125
1597193gm74,5.3,80.0,-134.0,47.68633602701962,142.89552208382617,134.42333909038857,52.28195895614566,250.0,88.0,3.625
1598374gm14,4.464043081764332,80.0,-134.0,34.38700991459239,61.50703855960934,50.95728095402088,3.894659007771829,630.0,28.0,0.275
1609211gm19,4.727522352159951,46.0,140.0,31.33002158818933,35.140736755459834,14.500286346547618,14.88521756850258,600.0,3.0,0.325
1612426gm89,5.415220228224449,55.0,-94.0,98.62597646915395,124.3170535947295,75.66948679226186,-3.3407999350208564,250.0,88.0,3.625
1613958gm34,4.525469773985668,67.0,173.0,12.559165536581643,46.38537998036289,44.40335606178236,15.810473929961068,246.0,46.0,0.325
1613958gm44,4.525469773985668,67.0,173.0,12.559165536581643,47.91030927396811,45.95700379237768,18.175200648335924,265.0,128.0,0.325
1614155gm9,4.172033623706503,60.0,80.0,4.28663124194781,34.850083561230456,34.46585212840428,6.036975827271815,264.0,133.0,0.275
1615147gm34,4.077041938887286,70.0,123.0,30.36829368125924,36.29038309259741,19.85477105408187,-13.820567042324532,250.0,88.0,3.625
1632935gm24,5.26406925384405,70.0,123.0,53.314969347021375,72.30315641917117,48.266070486853295,17.698451457316864,240.0,65.0,0.275
1632935gm39,5.26406925384405,70.0,123.0,53.314969347021375,80.58440786864287,58.9761063325779,56.57129110063028,390.0,268.0,1.375
1632935gm74,5.26406925384405,70.0,123.0,53.314969347021375,71.72249634142764,47.50118786940499,14.459066677981514,200.0,274.0,0.325
1632935gm89,5.26406925384405,70.0,123.0,53.314969347021375,78.64582457552612,57.489352765924885,11.097446717796066,246.0,46.0,0.325
1636051gm34,4.705372826837813,46.0,140.0,25.585475292893985,27.8490251058357,10.974508821643024,-0.2228812595956258,1000.0,15.0,0.375
1638093gm14,4.6066008138099725,46.0,127.0,4.1158124001924685,48.83801564367288,48.4886165267783,17.30244225060396,600.0,3.0,0.325
1647018gm29,4.461705278748445,46.0,140.0,96.00530898632404,104.30562694563766,40.73313078857887,-6.125970581497383,600.0,3.0,0.325
1659324gm29,5.008281317281642,67.0,173.0,40.43440601948456,59.850272773277005,44.12061549904874,-2.713199250235604,200.0,274.0,0.325
1659324gm34,5.008281317281642,67.0,173.0,40.43440601948456,53.01129041048857,34.23122131795698,-4.479249970707464,453.0,24.0,0.325
1659324gm44,5.008281317281642,67.0,173.0,40.43440601948456,52.9940193812206,34.22930472802213,-7.19888470009376,246.0,46.0,0.325
1659324gm54,5.008281317281642,67.0,173.0,40.43440601948456,53.37656505130101,34.83372799771635,-5.067295150567716,271.0,157.0,0.325
1659324gm64,5.008281317281642,67.0,173.0,40.43440601948456,53.21082180494414,34.553472659571874,-4.834096551170632,265.0,128.0,0.325
1663782gm24,4.357277987269141,80.0,-134.0,28.6478724331614,82.55815287757399,76.96512147416435,76.79657787023979,454.0,43.0,2.125
1695950gm4,4.1602808872119965,40.0,97.0,21.177690057668705,26.927386972973213,16.354809714950907,2.442585500916662,440.0,61.0,6.675
1709407gm44,4.812268041337077,67.0,147.0,40.93381624401282,137.91791896198754,131.03984090553297,96.27372280982324,750.0,23.0,0.975
1737299gm44,5.4,60.0,-127.0,247.09944850631163,374.5446551482338,281.44138216577994,-167.30075813877062,390.0,268.0,1.375
1737299gm94,5.4,60.0,-127.0,247.09944850631163,329.1531390681522,217.3730204581336,-210.3802727505436,1000.0,15.0,7.575
1737299gm139,5.4,60.0,-127.0,247.09944850631163,282.3470625943914,136.59164847268195,-68.78423321652012,250.0,88.0,3.625
1752783gm19,3.734442966550353,70.0,123.0,14.772611281055248,22.62531592318461,17.129182366934256,-16.570560932324817,250.0,88.0,3.625
1762046gm19,4.338464153525279,60.0,125.0,54.31845396431259,74.24353174507549,49.6965074687703,50.56037827047045,200.0,274.0,0.325
1762046gm29,4.338464153525279,60.0,125.0,54.31845396431259,74.51430643365086,50.104557671557934,49.15315469694279,246.0,46.0,0.325
1762046gm39,4.338464153525279,60.0,125.0,54.31845396431259,73.29334521970445,48.31069397734001,47.80776904432842,271.0,157.0,0.325
1773445gm19,3.9632496970433975,60.0,80.0,4.411426756994957,34.16027949396037,33.76530108676871,6.3215946471551225,264.0,133.0,0.275
1774135gm19,4.127847982275927,67.0,173.0,38.70564389217094,92.92269146375604,84.46267849330833,-32.769829105095205,390.0,268.0,1.375
1774135gm44,4.127847982275927,67.0,173.0,38.70564389217094,48.455551415029305,29.13960897536101,-18.674154418960264,271.0,157.0,0.325
1774135gm54,4.127847982275927,67.0,173.0,38.70564389217094,48.26890883638048,28.79861073430359,-18.440968557765757,265.0,128.0,0.325
1793707gm44,5.3,40.0,97.0,26.043635139205417,45.21062677538161,36.55700571944504,3.877503108947273,1000.0,15.0,7.575
